occupation,global_pct
"Business Teachers, Postsecondary",0.04
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.01
Baggage Porters and Bellhops,0.01
Customs and Border Protection Officers,0.05
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",0.0
Political Scientists,0.1
Producers and Directors,0.11
Market Research Analysts and Marketing Specialists,0.21
Logistics Analysts,0.03
"Court, Municipal, and License Clerks",0.16
Marketing Managers,0.53
Medical Assistants,0.07
"Special Education Teachers, Elementary School",0.05
Government Property Inspectors and Investigators,0.04
Fabric and Apparel Patternmakers,0.0
Patient Representatives,0.02
Public Safety Telecommunicators,0.0
"Hotel, Motel, and Resort Desk Clerks",0.0
Credit Analysts,0.01
Subway and Streetcar Operators,0.0
Shampooers,0.0
Carpet Installers,0.0
Forest and Conservation Workers,0.0
Chefs and Head Cooks,0.01
Aerospace Engineers,0.07
First-Line Supervisors of Police and Detectives,0.03
Computer Systems Analysts,1.91
Instructional Coordinators,1.01
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.0
Nuclear Medicine Technologists,0.0
"Tax Examiners and Collectors, and Revenue Agents",0.01
Interior Designers,0.04
Writers and Authors,2.22
First-Line Supervisors of Passenger Attendants,0.02
Bakers,0.03
Gambling Dealers,0.03
Musicians and Singers,0.01
"Library Assistants, Clerical",0.01
Farm and Home Management Educators,0.03
Nurse Anesthetists,0.0
"Recreation and Fitness Studies Teachers, Postsecondary",0.01
Cartographers and Photogrammetrists,0.02
Soil and Plant Scientists,0.01
Manufactured Building and Mobile Home Installers,0.0
Emergency Management Directors,0.0
Radiologists,0.01
Loss Prevention Managers,0.01
Computer Network Architects,0.04
Gas Compressor and Gas Pumping Station Operators,0.0
Naturopathic Physicians,0.01
Solar Energy Installation Managers,0.01
Paramedics,0.02
Chemical Plant and System Operators,0.0
Chief Executives,0.16
"Transportation, Storage, and Distribution Managers",0.15
Mechanical Engineering Technologists and Technicians,0.19
"Law Teachers, Postsecondary",0.01
Water/Wastewater Engineers,0.03
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.36
"Hairdressers, Hairstylists, and Cosmetologists",0.02
Surveying and Mapping Technicians,0.01
First-Line Supervisors of Food Preparation and Serving Workers,0.01
"Buyers and Purchasing Agents, Farm Products",0.0
"Education Teachers, Postsecondary",0.01
Social Science Research Assistants,0.14
Critical Care Nurses,0.01
Industrial Engineering Technologists and Technicians,0.15
"Telecommunications Equipment Installers and Repairers, Except Line Installers",0.09
Agricultural Engineers,0.02
"Art, Drama, and Music Teachers, Postsecondary",0.2
Merchandise Displayers and Window Trimmers,0.0
Broadcast Technicians,0.01
Film and Video Editors,0.05
Food Science Technicians,0.0
Gem and Diamond Workers,0.0
Atmospheric and Space Scientists,0.02
Quality Control Analysts,0.55
"Chemistry Teachers, Postsecondary",0.01
"Wholesale and Retail Buyers, Except Farm Products",0.08
Park Naturalists,0.01
"Fine Artists, Including Painters, Sculptors, and Illustrators",0.15
Archivists,0.11
First-Line Supervisors of Security Workers,0.0
Licensed Practical and Licensed Vocational Nurses,0.0
Taxi Drivers,0.0
"Patternmakers, Wood",0.02
"Education Administrators, Kindergarten through Secondary",0.51
Computer Network Support Specialists,0.08
Health Information Technologists and Medical Registrars,0.0
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.01
Sports Medicine Physicians,0.09
"Child, Family, and School Social Workers",0.04
Bioengineers and Biomedical Engineers,0.02
Cardiologists,0.84
"Agricultural Sciences Teachers, Postsecondary",0.01
"Electrical and Electronics Installers and Repairers, Transportation Equipment",0.0
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0.0
Rehabilitation Counselors,0.01
Electrical and Electronic Engineering Technologists and Technicians,0.01
Library Technicians,1.5
Data Scientists,0.61
Digital Forensics Analysts,0.25
Stationary Engineers and Boiler Operators,0.45
General Internal Medicine Physicians,0.02
Psychiatric Aides,0.0
Talent Directors,0.0
Human Factors Engineers and Ergonomists,0.07
Paperhangers,0.0
Online Merchants,0.6
"Elementary School Teachers, Except Special Education",0.04
Equal Opportunity Representatives and Officers,0.0
Brownfield Redevelopment Specialists and Site Managers,0.0
Diagnostic Medical Sonographers,0.0
Acute Care Nurses,0.03
Surveyors,0.01
Real Estate Brokers,0.0
Traffic Technicians,0.01
"First-Line Supervisors of Mechanics, Installers, and Repairers",0.01
"Credit Authorizers, Checkers, and Clerks",0.01
Art Therapists,0.01
Insurance Claims and Policy Processing Clerks,0.84
Training and Development Specialists,0.13
Cytogenetic Technologists,0.0
Fundraising Managers,0.05
Investment Fund Managers,0.14
"Psychology Teachers, Postsecondary",0.01
"Educational, Guidance, and Career Counselors and Advisors",0.2
Orthoptists,0.04
Automotive Engineering Technicians,0.02
Psychiatrists,0.01
First-Line Supervisors of Correctional Officers,0.01
Massage Therapists,0.0
"Economics Teachers, Postsecondary",0.01
Nannies,0.0
"Poets, Lyricists and Creative Writers",1.49
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.02
"Pediatricians, General",0.02
"Mining and Geological Engineers, Including Mining Safety Engineers",0.0
"Forestry and Conservation Science Teachers, Postsecondary",0.05
Geothermal Technicians,0.21
Actuaries,0.07
Millwrights,0.04
"Dentists, General",0.0
Purchasing Managers,0.03
First-Line Supervisors of Retail Sales Workers,0.04
Microbiologists,0.01
Billing and Posting Clerks,0.04
"Philosophy and Religion Teachers, Postsecondary",0.35
Hospitalists,0.0
Gambling Managers,0.0
Bioinformatics Scientists,0.39
"Preschool Teachers, Except Special Education",0.01
Marriage and Family Therapists,0.53
Document Management Specialists,5.1
Materials Scientists,0.08
Air Traffic Controllers,0.01
"Family and Consumer Sciences Teachers, Postsecondary",0.01
"Physicians, Pathologists",0.01
Telephone Operators,0.0
Acupuncturists,0.0
Remote Sensing Scientists and Technologists,0.12
Web Developers,0.64
Solar Energy Systems Engineers,0.02
Waiters and Waitresses,0.17
Labor Relations Specialists,0.0
Computer Numerically Controlled Tool Operators,0.0
Penetration Testers,0.04
"Maintenance and Repair Workers, General",0.01
Radiologic Technologists and Technicians,0.0
Healthcare Social Workers,0.0
Transportation Engineers,0.03
"Mobile Heavy Equipment Mechanics, Except Engines",0.01
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.05
Ophthalmic Medical Technologists,0.0
Chiropractors,0.32
Economists,0.09
"Foreign Language and Literature Teachers, Postsecondary",0.01
Construction Managers,0.01
File Clerks,0.17
Logistics Engineers,0.04
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.45
Power Plant Operators,0.03
Chemical Technicians,0.24
Automotive Glass Installers and Repairers,0.0
Food Scientists and Technologists,0.0
Geneticists,0.01
"News Analysts, Reporters, and Journalists",1.62
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.0
Concierges,0.01
Tax Preparers,0.06
"Cooks, Short Order",0.0
"Shipping, Receiving, and Inventory Clerks",0.0
"Judges, Magistrate Judges, and Magistrates",0.01
Security Managers,0.01
Receptionists and Information Clerks,0.37
Database Architects,0.14
Medical and Clinical Laboratory Technicians,0.0
Optometrists,0.0
Advertising and Promotions Managers,0.67
Dental Hygienists,0.01
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1.39
Anesthesiologists,0.01
Medical Records Specialists,0.0
"Meter Readers, Utilities",0.0
"Directors, Religious Activities and Education",0.76
Financial Examiners,0.08
First-Line Supervisors of Gambling Services Workers,0.01
"Mixing and Blending Machine Setters, Operators, and Tenders",0.01
Sales Engineers,0.73
Nurse Midwives,0.03
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0.0
Microsystems Engineers,0.04
Machinists,0.03
Mechanical Engineers,0.26
"Fraud Examiners, Investigators and Analysts",0.02
Genetic Counselors,0.03
Animal Scientists,0.0
Historians,0.1
Electrical Power-Line Installers and Repairers,0.0
Chemists,0.06
Project Management Specialists,0.18
Roofers,0.0
Security and Fire Alarm Systems Installers,0.03
Occupational Therapy Aides,0.0
Neuropsychologists,0.02
"Geological Technicians, Except Hydrologic Technicians",0.01
Hydrologists,0.0
Plasterers and Stucco Masons,0.0
Prepress Technicians and Workers,0.0
Gambling Cage Workers,0.0
"Laborers and Freight, Stock, and Material Movers, Hand",0.0
Facilities Managers,0.03
Transportation Security Screeners,0.0
Speech-Language Pathologists,0.01
Paralegals and Legal Assistants,0.2
Emergency Medicine Physicians,0.09
Mechanical Drafters,0.03
"Architects, Except Landscape and Naval",0.05
Electro-Mechanical and Mechatronics Technologists and Technicians,0.02
Compliance Managers,0.05
Heavy and Tractor-Trailer Truck Drivers,0.0
Wind Energy Development Managers,0.02
Business Intelligence Analysts,0.52
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.58
"Special Education Teachers, Middle School",0.01
Data Entry Keyers,0.08
Mathematicians,0.98
Telecommunications Engineering Specialists,0.09
Treasurers and Controllers,0.09
Technical Writers,1.67
"Compensation, Benefits, and Job Analysis Specialists",0.02
Appraisers of Personal and Business Property,0.01
Anthropologists and Archeologists,0.06
Industrial Machinery Mechanics,0.02
Broadcast Announcers and Radio Disc Jockeys,0.1
Detectives and Criminal Investigators,0.0
Travel Guides,0.0
Fire-Prevention and Protection Engineers,0.0
Fire Inspectors and Investigators,0.0
Dining Room and Cafeteria Attendants and Bartender Helpers,0.02
"Sociology Teachers, Postsecondary",0.01
Clinical Neuropsychologists,0.01
Loan Officers,0.09
"Coil Winders, Tapers, and Finishers",0.0
First-Line Supervisors of Construction Trades and Extraction Workers,0.02
Photonics Engineers,0.09
Pharmacy Aides,0.0
Information Security Analysts,0.01
Computer Numerically Controlled Tool Programmers,0.01
Occupational Health and Safety Technicians,0.01
"Mathematical Science Teachers, Postsecondary",0.02
Geographers,0.03
Advertising Sales Agents,0.13
Bartenders,0.02
Funeral Attendants,0.01
Medical Equipment Repairers,0.0
Customs Brokers,0.03
Automotive Service Technicians and Mechanics,0.03
Landscape Architects,0.02
Veterinary Technologists and Technicians,0.02
Advanced Practice Psychiatric Nurses,0.01
Accountants and Auditors,0.12
Automotive and Watercraft Service Attendants,0.0
Tutors,1.27
Energy Auditors,0.0
Electrical Engineers,0.02
Biomass Power Plant Managers,0.13
"Education and Childcare Administrators, Preschool and Daycare",0.02
Veterinarians,0.02
Landscaping and Groundskeeping Workers,0.0
"Farmworkers, Farm, Ranch, and Aquacultural Animals",0.0
Baristas,0.0
"Administrative Law Judges, Adjudicators, and Hearing Officers",0.03
"Career/Technical Education Teachers, Secondary School",0.01
Loan Interviewers and Clerks,0.01
"Textile Cutting Machine Setters, Operators, and Tenders",0.0
Electrical and Electronic Equipment Assemblers,0.05
Correspondence Clerks,0.39
Flight Attendants,0.01
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.01
Financial Managers,0.11
Bridge and Lock Tenders,0.0
Sustainability Specialists,0.01
"English Language and Literature Teachers, Postsecondary",0.17
Probation Officers and Correctional Treatment Specialists,0.0
Budget Analysts,0.03
Sociologists,0.14
Industrial-Organizational Psychologists,0.26
Magnetic Resonance Imaging Technologists,0.0
Payroll and Timekeeping Clerks,0.01
"Inspectors, Testers, Sorters, Samplers, and Weighers",0.15
Petroleum Engineers,0.01
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",0.04
Software Developers,0.35
Media Programming Directors,0.04
Music Directors and Composers,0.01
General and Operations Managers,0.21
Judicial Law Clerks,0.08
Manufacturing Engineers,0.12
Brokerage Clerks,0.0
Neurologists,0.02
Training and Development Managers,0.21
Data Warehousing Specialists,1.65
"Environmental Science Teachers, Postsecondary",0.01
"Cooks, Restaurant",0.01
Electricians,0.0
"Medical Scientists, Except Epidemiologists",0.01
Motorboat Mechanics and Service Technicians,0.01
"Special Education Teachers, Kindergarten",0.02
"Office Machine Operators, Except Computer",0.0
Credit Counselors,1.49
"History Teachers, Postsecondary",0.01
"Meeting, Convention, and Event Planners",0.12
"Bus Drivers, Transit and Intercity",0.0
Shuttle Drivers and Chauffeurs,0.0
"Special Education Teachers, Secondary School",0.01
Order Clerks,0.04
Exercise Physiologists,0.2
"Orthopedic Surgeons, Except Pediatric",0.0
"Food Servers, Nonrestaurant",0.0
Actors,0.16
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0.06
"Coin, Vending, and Amusement Machine Servicers and Repairers",0.0
Graphic Designers,1.07
Midwives,0.05
Medical and Health Services Managers,0.05
"Cooks, Fast Food",0.0
Obstetricians and Gynecologists,0.02
Photographic Process Workers and Processing Machine Operators,0.0
Zoologists and Wildlife Biologists,0.01
"Human Resources Assistants, Except Payroll and Timekeeping",0.01
Set and Exhibit Designers,0.01
Neurodiagnostic Technologists,0.0
Adapted Physical Education Specialists,0.01
"Cooks, Private Household",0.03
Non-Destructive Testing Specialists,0.0
Fuel Cell Engineers,0.0
Cashiers,0.94
Social and Human Service Assistants,0.03
Lawyers,0.62
Biostatisticians,0.14
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0.0
Media Technical Directors/Managers,0.0
First-Line Supervisors of Housekeeping and Janitorial Workers,0.11
"Disc Jockeys, Except Radio",0.01
Clinical Research Coordinators,0.05
Personal Financial Advisors,0.27
Materials Engineers,0.02
Forest and Conservation Technicians,0.01
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0.03
"Ophthalmologists, Except Pediatric",0.0
Amusement and Recreation Attendants,0.0
Machine Feeders and Offbearers,0.0
Health Education Specialists,0.0
Architectural and Engineering Managers,0.06
Lodging Managers,0.03
Environmental Restoration Planners,0.0
Medical and Clinical Laboratory Technologists,0.0
Civil Engineering Technologists and Technicians,0.05
"Computer Science Teachers, Postsecondary",0.01
Computer User Support Specialists,2.17
Refuse and Recyclable Material Collectors,0.0
Animal Trainers,0.0
Fundraisers,0.06
"Political Science Teachers, Postsecondary",0.01
Respiratory Therapists,0.0
First-Line Supervisors of Personal Service Workers,0.0
Cabinetmakers and Bench Carpenters,0.01
Childcare Workers,0.09
Emergency Medical Technicians,0.02
Nanosystems Engineers,0.07
Demonstrators and Product Promoters,0.86
"Career/Technical Education Teachers, Postsecondary",0.38
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",0.0
"Radio, Cellular, and Tower Equipment Installers and Repairers",0.04
"Physics Teachers, Postsecondary",0.01
Proofreaders and Copy Markers,0.41
Tellers,0.02
Craft Artists,0.14
"Electronic Equipment Installers and Repairers, Motor Vehicles",0.0
"Electronics Engineers, Except Computer",0.2
Veterinary Assistants and Laboratory Animal Caretakers,0.0
Bus and Truck Mechanics and Diesel Engine Specialists,0.0
"Service Unit Operators, Oil and Gas",0.0
Upholsterers,0.0
Appraisers and Assessors of Real Estate,0.04
Furniture Finishers,0.01
Cost Estimators,0.01
Cargo and Freight Agents,0.0
Computer and Information Research Scientists,0.08
"Geography Teachers, Postsecondary",0.01
Urologists,0.0
Hydrologic Technicians,0.05
Allergists and Immunologists,0.02
"Makeup Artists, Theatrical and Performance",0.0
Tool and Die Makers,0.0
Information Technology Project Managers,0.09
Financial and Investment Analysts,0.21
Business Continuity Planners,0.11
Print Binding and Finishing Workers,0.0
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.02
"Title Examiners, Abstractors, and Searchers",0.02
Editors,2.58
Parking Attendants,0.0
Quality Control Systems Managers,0.38
Food Service Managers,0.13
Computer Systems Engineers/Architects,1.01
Fast Food and Counter Workers,0.01
Web and Digital Interface Designers,1.7
Skincare Specialists,0.04
Interpreters and Translators,0.93
Recreational Therapists,0.01
Environmental Engineers,0.03
Gambling Change Persons and Booth Cashiers,0.0
Medical Secretaries and Administrative Assistants,0.01
Orthodontists,0.01
Manicurists and Pedicurists,0.0
Statisticians,0.33
Freight Forwarders,0.01
First-Line Supervisors of Firefighting and Prevention Workers,0.01
Pharmacists,0.15
Pediatric Surgeons,0.0
"Securities, Commodities, and Financial Services Sales Agents",0.14
Robotics Engineers,0.01
Word Processors and Typists,1.16
Computer Programmers,1.67
Legislators,0.01
Food Batchmakers,0.0
"Interviewers, Except Eligibility and Loan",0.23
Range Managers,0.0
Nursing Assistants,0.42
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0.08
Sound Engineering Technicians,0.02
Music Therapists,0.06
Jewelers and Precious Stone and Metal Workers,0.0
Curators,0.08
Insurance Sales Agents,0.0
"Geoscientists, Except Hydrologists and Geographers",0.0
Biologists,0.07
Models,0.0
Podiatrists,0.0
Recycling Coordinators,0.0
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.0
Validation Engineers,0.03
Chemical Equipment Operators and Tenders,0.0
Radiation Therapists,0.0
Sales Managers,0.12
First-Line Supervisors of Non-Retail Sales Workers,0.02
Nuclear Power Reactor Operators,0.04
Industrial Production Managers,0.02
Food Preparation Workers,0.0
Intelligence Analysts,0.01
Clinical Data Managers,0.22
Executive Secretaries and Executive Administrative Assistants,0.3
Carpenters,0.03
"Patternmakers, Metal and Plastic",0.0
Construction and Building Inspectors,0.0
Nurse Practitioners,0.11
Substance Abuse and Behavioral Disorder Counselors,0.02
Robotics Technicians,0.0
Information Security Engineers,0.12
Court Reporters and Simultaneous Captioners,0.0
"Secondary School Teachers, Except Special and Career/Technical Education",0.0
Environmental Engineering Technologists and Technicians,0.24
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",0.1
"Electric Motor, Power Tool, and Related Repairers",0.0
Dermatologists,0.0
Bill and Account Collectors,0.0
"Property, Real Estate, and Community Association Managers",0.01
Remote Sensing Technicians,0.04
Conservation Scientists,0.0
Architectural and Civil Drafters,0.03
"Insurance Appraisers, Auto Damage",0.0
Athletic Trainers,0.08
Solar Sales Representatives and Assessors,0.03
Team Assemblers,0.0
Textile Bleaching and Dyeing Machine Operators and Tenders,0.0
Geodetic Surveyors,0.06
Web Administrators,0.26
Police and Sheriff's Patrol Officers,0.01
Parts Salespersons,0.08
Computer and Information Systems Managers,0.45
Shoe and Leather Workers and Repairers,0.0
"Anthropology and Archeology Teachers, Postsecondary",0.09
Biological Technicians,0.08
Search Marketing Strategists,0.36
"Health Specialties Teachers, Postsecondary",0.01
"Ushers, Lobby Attendants, and Ticket Takers",0.0
"Social Work Teachers, Postsecondary",0.04
Community Health Workers,0.36
Physical Therapist Assistants,0.01
Physical Medicine and Rehabilitation Physicians,0.0
Printing Press Operators,0.0
"Nursing Instructors and Teachers, Postsecondary",0.01
Medical Transcriptionists,0.02
Reservation and Transportation Ticket Agents and Travel Clerks,0.08
Orderlies,0.0
Astronomers,0.09
Transit and Railroad Police,0.0
First-Line Supervisors of Production and Operating Workers,0.15
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0.08
Compensation and Benefits Managers,0.02
Postmasters and Mail Superintendents,0.02
Pharmacy Technicians,0.21
Travel Agents,0.01
New Accounts Clerks,0.0
Industrial Ecologists,0.0
Phlebotomists,0.0
Residential Advisors,0.1
Clinical Nurse Specialists,0.05
Athletes and Sports Competitors,0.0
Solar Photovoltaic Installers,0.01
"Packers and Packagers, Hand",0.0
Survey Researchers,0.01
Security Management Specialists,0.05
Coaches and Scouts,0.05
"Production, Planning, and Expediting Clerks",0.15
"Umpires, Referees, and Other Sports Officials",0.0
"Locker Room, Coatroom, and Dressing Room Attendants",0.56
Occupational Health and Safety Specialists,0.11
