iso3,food_serving,personal_care,arts_media,sales,transport,office_admin,tour_soc_mean,ai_autonomy_mean,ai_education_years_mean,artifact_academic_paper_or_thesis_pct,artifact_advice_or_recommendation_pct,artifact_analysis_or_summary_pct,artifact_app_or_website_pct,artifact_audio_or_music_pct,artifact_blog_or_article_pct,artifact_chart_or_visualization_pct,artifact_code_fix_or_debug_pct,artifact_config_or_infra_pct,artifact_creative_writing_pct,artifact_data_or_spreadsheet_pct,artifact_document_or_report_pct,artifact_educational_material_pct,artifact_email_or_message_pct,artifact_explanation_or_answer_pct,artifact_game_or_interactive_pct,artifact_idea_or_brainstorm_pct,artifact_image_or_graphic_pct,artifact_marketing_or_social_content_pct,artifact_math_or_calculation_pct,artifact_ml_or_ai_system_pct,artifact_none_pct,artifact_other_pct,artifact_plan_or_strategy_pct,artifact_presentation_or_slides_pct,artifact_recipe_or_meal_plan_pct,artifact_resume_or_job_application_pct,artifact_script_or_snippet_pct,artifact_sql_or_database_query_pct,artifact_translation_pct,artifact_ui_or_design_mockup_pct,artifact_video_or_animation_pct,collaboration_bucket_augmentation_pct,collaboration_bucket_automation_pct,collaboration_directive_pct,collaboration_feedback_loop_pct,collaboration_learning_pct,collaboration_none_pct,collaboration_task_iteration_pct,collaboration_validation_pct,human_education_years_mean,human_only_ability_pct,human_only_time_mean,human_with_ai_time_mean,multitasking_pct,usage_pct,usage_per_capita_index,use_case_coursework_pct,use_case_personal_pct,use_case_work_pct,arrivals,tour_receipts,gdp_pc,population,services_emp,travel_exp_share,internet_users,mobile_subs,working_age_share,unemployment,services_va,ict_exports,gdp_growth,homicides,arrivals_pc,tour_receipts_pc
BFA,,1.55,14.02,6.57,,8.64,1.55,2.84,12.7,1.92,5.24,3.84,5.55,0.05,0.1,1.92,2.95,0.78,1.19,2.44,21.77,6.12,2.28,16.02,0.16,0.67,1.04,2.02,4.72,0.52,6.64,0.16,2.85,1.92,0.21,1.71,2.75,0.31,0.98,0.83,0.36,47.4,52.6,39.43,11.58,15.79,3.01,28.57,1.61,11.41,80.78,5.93,33.76,19.59,0.05,0.15,38.76,30.26,30.98,67000.0,173000000.0,982.493100418428,23548781,31.1555829082131,20.0788597207582,28.25270081,116.5895933212,55.5461979114758,3.441,43.961173085479,14.2143612785876,4.83395810163883,,0.0028451578873658046,7.346452455437078
BGD,0.38,1.33,14.23,8.12,0.22,6.59,0.855,2.75,11.97,1.33,7.67,3.28,6.82,0.02,0.86,2.77,4.61,1.3,1.66,2.14,11.35,5.53,2.53,16.91,0.35,0.76,1.29,4.07,2.47,0.69,6.25,0.19,4.17,2.21,0.18,1.89,3.52,0.33,0.96,1.21,0.69,49.25,50.75,36.86,12.51,18.02,2.71,27.36,2.54,10.65,84.65,5.03,30.96,17.69,0.31,0.11,27.07,36.48,36.45,323000.0,217899993.896484,2593.41611680774,173562364,37.3715657723132,5.9410210786561,53.42171316,108.077037369691,65.5126064657658,3.635,51.4166555046575,9.51203440588108,4.22325911250161,,0.0018610025385457415,1.2554564761314497
BGR,0.48,1.0,11.9,10.86,0.35,6.4,0.74,2.69,12.3,0.88,12.07,5.33,4.47,0.0,0.64,1.7,4.23,2.39,1.12,2.73,11.37,2.15,3.55,18.97,0.32,0.86,0.99,3.46,1.16,0.65,6.14,0.09,4.88,1.7,0.67,0.75,3.83,0.45,1.25,0.88,0.3,51.39,48.61,28.17,19.28,18.24,2.39,28.91,3.01,11.31,88.12,4.39,41.98,22.78,0.13,1.36,10.66,43.2,46.14,4973000.0,1792000000.0,17596.9167621233,6441421,67.0251149129062,25.1986769816591,82.438955,118.067152838789,63.4952025385603,4.2,63.7625821557051,25.5505150604287,3.38708962009333,1.08890737415431,0.7720346178273396,278.1994842442374
BHR,,1.46,13.37,8.37,,9.04,1.46,2.75,12.27,0.96,8.73,4.48,4.19,0.0,0.45,2.21,3.29,1.19,1.08,3.51,14.73,4.25,4.25,18.13,0.51,0.4,1.25,1.87,2.55,0.4,6.29,0.17,3.63,2.89,0.79,1.7,3.17,0.51,1.25,1.02,0.17,52.5,47.5,30.89,15.45,15.39,2.44,31.46,4.37,11.19,84.47,4.98,40.36,22.9,0.04,1.5,25.11,35.83,39.06,1909000.0,724000000.0,29717.1424605273,1588670,64.104099493321,31.7821101634018,100.0,159.536143577452,77.4298348805279,1.084,53.3036182185741,8.26225513168994,2.89710543153512,0.195636140255462,1.2016340712671605,455.72711765187233
BIH,,1.24,13.76,9.39,,6.51,1.24,2.68,12.06,1.17,11.57,4.19,4.95,0.0,0.59,1.09,4.36,2.35,1.01,2.77,12.91,1.93,3.86,19.28,0.34,0.75,1.51,3.27,1.84,0.67,5.45,0.25,4.02,2.1,0.5,0.92,3.69,0.17,1.09,1.26,0.17,49.09,50.91,29.4,20.05,16.09,2.86,27.38,4.21,10.92,87.52,4.75,40.83,20.85,0.03,0.61,14.91,41.71,43.38,197000.0,438000000.0,9397.90942855997,3164253,52.2463210016924,52.2875615118654,86.10091103,121.232373011893,64.7319446327459,10.69,56.6511610029932,13.5766902871611,3.22679979810856,1.22446173133237,0.0622579800034953,138.42129564228904
BOL,,1.22,11.86,6.1,,10.37,1.22,2.86,12.94,1.33,5.18,4.11,5.56,0.05,0.23,4.09,4.02,1.31,1.52,3.69,22.69,4.86,1.17,13.47,0.35,0.35,0.79,1.63,3.01,0.68,6.77,0.21,2.57,3.2,0.16,0.61,3.78,0.96,0.47,1.0,0.19,48.44,51.56,35.66,14.85,12.34,2.04,32.7,2.42,11.66,80.95,5.65,35.47,17.76,0.11,0.56,43.26,23.02,33.71,323299.987792969,243000000.0,4421.16609889999,12413315,55.1239312239933,64.2727694804556,79.70469666,98.0287940811943,64.5719616395781,3.274,53.36246116287,4.33936656750335,-1.12335595517212,4.41843313132273,0.02604461320710616,19.5757539384121
BRA,0.33,1.21,14.16,7.2,0.28,8.89,0.77,2.84,12.89,0.78,6.59,5.49,6.28,0.04,0.31,2.42,3.83,1.7,1.5,3.88,18.73,2.22,3.2,12.6,0.48,0.59,1.31,4.74,1.12,0.91,6.81,0.26,4.22,2.63,0.38,0.89,3.33,0.64,0.53,1.1,0.46,48.82,51.18,33.16,16.84,11.95,2.3,33.32,2.43,11.84,81.79,5.4,37.45,19.79,3.33,0.96,11.52,31.12,57.35,6353000.0,3099000000.0,10310.5486973693,211998573,71.9821226349216,17.1046231001792,84.46347227,101.926846460424,69.285675877437,6.801,59.1707527173878,12.5746509091821,3.41931516501906,19.2752957673079,0.029967182845141133,14.61802292414487
BWA,,,13.9,7.38,,9.72,,2.93,12.76,1.24,6.8,3.83,5.44,0.0,0.12,2.35,2.47,0.87,1.98,2.72,22.37,6.18,2.6,14.71,0.37,0.62,0.87,0.99,3.21,0.37,6.3,0.0,3.96,3.09,0.37,3.21,1.48,0.37,0.25,0.87,0.0,48.48,51.52,39.8,10.51,14.71,2.35,30.78,1.85,11.66,83.56,6.2,38.87,23.36,0.02,0.52,37.33,27.19,35.48,,217000000.0,7649.81663744354,2521139,66.1442567348372,63.157480928331,57.45950036,163.999922257361,63.8344613287883,23.81,63.5075554087284,3.77925586485781,-2.77988981666252,11.3681767255945,,86.07220783939323
CAN,0.57,1.28,13.35,11.27,0.38,7.6,0.925,2.7,12.13,0.5,14.69,5.58,3.29,0.03,0.39,1.75,2.5,1.42,1.5,2.84,13.32,1.68,6.41,17.82,0.35,0.79,0.79,2.64,1.43,0.34,6.32,0.15,4.55,1.33,0.91,2.72,2.35,0.25,0.54,0.65,0.17,52.67,47.33,29.28,16.77,17.71,2.7,30.13,3.41,11.31,91.06,4.34,42.32,26.07,2.63,4.13,8.25,49.64,42.11,32430000.0,,55015.7066917734,41262329,79.9376491637297,30.3548358627205,94.353302,94.1059718794246,65.0890886641808,6.351,64.1108208953921,14.4447899140379,2.04626605401701,1.97968887560784,0.7859469105585387,
CHE,0.62,1.17,13.8,10.44,0.36,7.98,0.895,2.68,12.56,1.2,12.18,5.79,2.99,0.04,0.32,1.94,2.28,1.58,0.81,2.67,14.2,2.63,6.21,19.42,0.28,0.66,0.76,2.0,1.46,0.43,6.32,0.17,3.78,2.28,0.94,1.9,2.45,0.28,1.3,0.59,0.14,55.85,44.15,28.35,14.73,19.49,2.43,31.68,3.33,11.73,90.72,3.98,38.71,23.25,0.7,5.02,17.3,43.92,38.78,11818000.0,9994000000.0,107702.065940312,9005582,77.8521387229358,11.9914593545216,97.3443985,129.471369643132,65.0301373652331,4.343,71.4501859833139,12.7476065696781,1.39033363875791,0.597481940544685,1.3122971952284705,1109.7561490195747
