iso3,period,tour_soc_mean,food,personal
NOR,2026-05,0.77,0.61,0.93
NPL,2026-05,0.895,0.27,1.52
NZL,2026-05,0.745,0.44,1.05
PAK,2026-05,0.72,0.3,1.14
PER,2026-05,0.835,0.24,1.43
PHL,2026-05,0.865,0.45,1.28
POL,2026-05,1.05,0.49,1.61
PRI,2026-05,1.0150000000000001,0.45,1.58
PRT,2026-05,0.7250000000000001,0.55,0.9
QAT,2026-05,0.85,0.44,1.26
ROU,2026-05,0.7949999999999999,0.4,1.19
SAU,2026-05,0.97,0.47,1.47
SEN,2026-05,0.97,0.54,1.4
SGP,2026-05,0.835,0.64,1.03
SRB,2026-05,0.82,0.46,1.18
SVK,2026-05,0.845,0.51,1.18
SWE,2026-05,0.86,0.5,1.22
THA,2026-05,0.855,0.5,1.21
TUN,2026-05,0.6599999999999999,0.15,1.17
TUR,2026-05,0.9,0.51,1.29
TWN,2026-05,0.675,0.27,1.08
UKR,2026-05,0.9550000000000001,0.4,1.51
URY,2026-05,0.935,0.37,1.5
USA,2026-05,0.9550000000000001,0.64,1.27
UZB,2026-05,1.4449999999999998,0.63,2.26
VNM,2026-05,0.775,0.29,1.26
ZAF,2026-05,0.745,0.33,1.16
