model,term,coef,se,t
M1_loggdp,const,2.0566579397918057,0.21638350414911192,9.504689129974267
M1_loggdp,log_gdp_pc,-0.10831368565756552,0.023057019088733675,-4.697644792708296
M2_internet,const,2.1593052665275905,0.24648254061382485,8.760479590766106
M2_internet,log_gdp_pc,-0.13829955047785497,0.0413893421088255,-3.341429059544418
M2_internet,internet_users,0.002252715702344338,0.002580997106396733,0.8728083021717523
M3_arrivals,const,2.6666797864288734,0.3438615495284215,7.7550973352095065
M3_arrivals,log_gdp_pc,-0.1629351382323995,0.032772066672040405,-4.971768789040336
M3_arrivals,log_arrivals_pc,0.043802011010679036,0.02552664897761567,1.7159326729132773
M4_services,const,2.0732616443306813,0.2504261280792605,8.278935030591091
M4_services,log_gdp_pc,-0.11341138812718937,0.044664704687989464,-2.539172461106324
M4_services,services_emp,0.0005081972590421507,0.003807330025461567,0.13347864662206196
M5_full,const,2.7146625512543374,0.3642672946395014,7.4523916673356965
M5_full,log_gdp_pc,-0.18259585589978677,0.05425082150849346,-3.3657712606471724
M5_full,internet_users,0.0021104955160956007,0.002735956387447362,0.77139223628659
M5_full,log_arrivals_pc,0.040680916147526246,0.026222883590947543,1.5513517423221064
M5_full,services_emp,-0.0005919300000529343,0.004032100730080795,-0.1468043681639554
