model,n,r2,adj_r2
M1_loggdp,113,0.16583918539138875,0.1583242230976175
M2_internet,113,0.17157635301908314,0.15651410489215734
M3_arrivals,107,0.22606013357386123,0.2111766746041278
M4_services,113,0.16597427139455012,0.1508101672380875
M5_full,107,0.23057800819145724,0.20040459674798505
