definition,beta_log_gdp,se,n,r2,r_travel_exp
B1_mean_base,-0.10067079121671758,0.021606993965967557,113,0.16357668854645513,0.21983910757646605
B1_sum,-0.006206678272299079,0.020326290881867423,78,0.0012253386122355048,0.22295936066659752
B1_add_sales,0.15442344747621511,0.05282294523663535,113,0.07148993463175757,-0.03271805893184173
B1_add_arts,-0.5166141877332773,0.08625725670558801,113,0.24423383992108116,0.12351035686462287
