check,beta,se,t,n
winsorized_1pct,-0.10274813461528487,0.021028922041430257,-4.886039066237205,113
food_only,0.05966585340542238,0.00864971419489495,6.898014438516025,77
personal_only,-0.09278825336494839,0.01840198181134706,-5.042296765434968,113
population_weighted,-0.01736552477349924,0.028109382039536394,-0.6177839395072539,113
excl_pop_lt_500k,-0.10831368565756552,0.023057019088733675,-4.697644792708296,113
ctrl_working_age,-0.1017473816320125,0.026940731935330253,-3.7767118531245365,113
